Date ,High_Stationary,HIGH 
2000-04-01,6.0,380.0
2000-05-01,26.94999999999999,356.8
2000-06-01,-25.350000000000023,354.65
2000-07-01,20.899999999999977,377.7
2000-08-01,-8.649999999999977,346.0
2000-09-01,12.100000000000023,389.8
2000-10-01,2.5,348.5
2000-11-01,-57.400000000000034,332.4
2000-12-01,4.300000000000011,352.8
2001-01-01,72.60000000000002,405.0
2001-02-01,76.55000000000001,429.35
2001-03-01,46.0,451.0
2001-04-01,-34.35000000000002,395.0
2001-05-01,-44.05000000000001,406.95
2001-06-01,-0.75,394.25
2001-07-01,-11.949999999999989,395.0
2001-08-01,-52.80000000000001,341.45
2001-09-01,-77.0,318.0
2001-10-01,-54.75,286.7
2001-11-01,-7.0,311.0
2001-12-01,37.80000000000001,324.5
2002-01-01,33.0,344.0
2002-02-01,5.75,330.25
2002-03-01,-4.0,340.0
2002-04-01,-10.350000000000023,319.9
2002-05-01,-44.60000000000002,295.4
2002-06-01,-28.5,291.4
2002-07-01,-16.44999999999999,278.95
2002-08-01,-31.399999999999977,260.0
2002-09-01,-8.0,270.95
2002-10-01,9.399999999999977,269.4
2002-11-01,24.850000000000023,295.8
2002-12-01,37.0,306.4
2003-01-01,14.199999999999989,310.0
2003-02-01,-2.6499999999999773,303.75
2003-03-01,-8.800000000000011,301.2
2003-04-01,-1.75,302.0
2003-05-01,0.8000000000000114,302.0
2003-06-01,35.75,337.75
2003-07-01,59.85000000000002,361.85
2003-08-01,86.94999999999999,424.7
2003-09-01,148.14999999999998,510.0
2003-10-01,73.19999999999999,497.9
2003-11-01,0.0,510.0
2003-12-01,84.89999999999998,582.8
2004-01-01,95.89999999999998,605.9
2004-02-01,37.200000000000045,620.0
2004-03-01,-5.899999999999977,600.0
2004-04-01,30.0,650.0
2004-05-01,33.049999999999955,633.05
2004-06-01,-191.75,458.25
2004-07-01,-142.54999999999995,490.5
2004-08-01,96.75,555.0
2004-09-01,29.25,519.75
2004-10-01,45.0,600.0
2004-11-01,67.25,587.0
2004-12-01,-52.10000000000002,547.9
2005-01-01,-37.0,550.0
2005-02-01,49.89999999999998,597.8
2005-03-01,50.799999999999955,600.8
