"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2014","EQ","897.45","898.25","887.60","895.20","888.25","888.80","891.42","955.00","763.90","1,337,074","1,191,892,428.40","26,754"
"31-Dec-2013","EQ","888.00","898.25","887.10","887.10","894.00","895.20","894.05","955.00","763.90","1,304,298","1,166,107,634.90","36,879"
"30-Dec-2013","EQ","881.00","889.85","875.85","878.85","885.55","887.10","884.08","955.00","763.90","2,357,956","2,084,620,472.65","54,908"
"27-Dec-2013","EQ","888.60","893.90","876.90","887.55","878.05","878.85","883.27","955.00","763.90","1,770,277","1,563,628,438.15","55,371"
"26-Dec-2013","EQ","894.50","900.00","882.10","898.05","887.70","887.55","889.03","955.00","763.90","3,341,856","2,971,000,810.95","65,137"
"24-Dec-2013","EQ","896.50","905.00","895.10","896.25","897.10","898.05","899.67","955.00","763.90","1,670,206","1,502,628,362.75","50,555"
"23-Dec-2013","EQ","899.00","909.00","890.00","895.15","892.95","896.25","901.03","955.00","763.90","3,701,213","3,334,917,259.10","97,605"
"20-Dec-2013","EQ","872.00","898.00","862.10","854.05","895.00","895.15","878.73","955.00","763.90","4,687,926","4,119,439,065.60","110,509"
"19-Dec-2013","EQ","864.40","864.40","843.70","859.95","852.50","854.05","854.48","955.00","763.90","3,074,567","2,627,155,096.20","72,819"
"18-Dec-2013","EQ","839.20","863.85","839.20","839.20","861.30","859.95","856.81","955.00","763.90","2,745,251","2,352,149,269.10","55,238"
"17-Dec-2013","EQ","848.70","852.90","836.75","845.05","837.85","839.20","844.80","955.00","763.90","2,306,272","1,948,332,865.20","47,061"
"16-Dec-2013","EQ","860.00","862.25","843.20","864.70","845.00","845.05","850.02","955.00","763.90","2,296,374","1,951,964,667.00","66,269"
"13-Dec-2013","EQ","867.00","868.10","857.65","870.20","863.05","864.70","863.86","955.00","763.90","2,040,359","1,762,583,953.65","74,770"
"12-Dec-2013","EQ","878.00","880.00","868.00","882.60","870.30","870.20","871.63","955.00","763.90","1,300,646","1,133,680,095.30","56,824"
"11-Dec-2013","EQ","882.50","884.95","872.50","884.65","884.15","882.60","879.38","955.00","763.90","1,137,789","1,000,544,917.80","30,957"
"10-Dec-2013","EQ","878.50","888.70","878.50","878.95","885.30","884.65","884.84","955.00","763.90","1,992,917","1,763,414,517.35","65,638"
"09-Dec-2013","EQ","882.10","888.00","876.20","866.70","877.75","878.95","881.32","955.00","763.90","2,904,113","2,559,460,317.45","84,045"
"06-Dec-2013","EQ","870.15","874.65","861.20","871.00","868.00","866.70","867.28","955.00","763.90","1,668,901","1,447,403,411.95","42,360"
